tau_frac,psi_frac,dW_total,dW_total_pct,dW_r1_pct,dW_r2_pct,dW_r3_pct
0.4,0.9,0.0005804521518371075,0.008983521746934064,-0.16913982559678564,-0.18879141819363682,0.38008234112492373
0.4,1.0,0.0006363295873894614,0.00984832370495721,-0.18289442121689892,-0.2033541861456269,0.4106117028187242
0.5,0.0,1.5017485238466577e-5,0.0002324220950806047,-0.049946920794647715,-0.06737149593148577,0.11649362870080265
0.5,0.1,3.598728996667688e-5,0.0005569668421516845,-0.06664376780060036,-0.08383585016186884,0.1502000049521912
0.5,0.2,0.0002073161725233419,0.003208583753992578,-0.09164396647258896,-0.10087922879748348,0.1996107586394699
0.5,0.3,0.0001268910418401603,0.0019638628787133844,-0.11799950132901642,-0.11377710847403619,0.2346854490008572
0.5,0.4,0.00018303734077651512,0.0028328259722400872,-0.12330352166374679,-0.11945219419368301,0.24810954780228678
0.5,0.5,0.00025331541806306035,0.003920503283174696,-0.13772584526991838,-0.12077275631791147,0.2669093600080046
0.5,0.6,0.0004819848234607349,0.007459566011681865,-0.14421395079934848,-0.12499035265544074,0.28801035513373624
0.5,0.7,0.000740394884819473,0.011458917893651034,-0.1492795506890869,-0.1409000628034026,0.3205987121965757
0.5,0.8,0.0005388455651011981,0.008339586367291209,-0.16998455594823333,-0.17229236740104137,0.36273911492873134
0.5,0.9,0.0005445413321876202,0.008427738417937244,-0.17500279946935765,-0.1945568058631979,0.3899101199335376
0.5,1.0,0.0006004187677417505,0.00929254037598788,-0.18875739508945025,-0.20911957381518798,0.4204394816273585
0.6,0.0,-0.00030949256273604675,-0.004789943768929083,-0.062333826568550084,-0.09005790724218375,0.13616576126690802
0.6,0.1,-0.00023088508410662456,-0.003573354267961496,-0.07739065782397715,-0.10489400087908654,0.1692988012173621
0.6,0.2,-7.113687218307518e-5,-0.0011009686780261336,-0.10157738927372131,-0.1242094403477891,0.21961151732654588
0.6,0.3,-2.119014586998702e-5,-0.00032795491521780913,-0.1269108170054552,-0.13581497233246437,0.2584035646852398
0.6,0.4,6.900146866328782e-6,0.00010679195388373574,-0.13785004455714972,-0.13748061678712617,0.2721567528215971
0.6,0.5,5.8120841616826624e-5,0.0008995226272524835,-0.14824742257921542,-0.14368545299954769,0.29091324632494064
0.6,0.6,0.000286790247013613,0.004438585355745907,-0.15473552810866617,-0.14790304933707696,0.3120142414506518
0.6,0.7,0.0005057263607826101,0.007827008213699175,-0.16009640209733408,-0.1653847851375028,0.34462686252664
0.6,0.8,0.00030381198566242773,0.004702026810546763,-0.18048932090273517,-0.19598658147982378,0.3856626217951847
0.6,0.9,0.0003095077527488499,0.004790178861192798,-0.18550756442388017,-0.21825101994198032,0.41283362679995
0.6,1.0,0.00030774751440265646,0.004762936065360673,-0.20090217579447764,-0.2344420484874714,0.44393632479472583
0.7,0.0,-0.00046357658934326196,-0.007174666091863185,-0.07493121716940765,-0.10298096997519854,0.15426832501999813
0.7,0.1,-0.0003849691107165043,-0.0059580765909368364,-0.0899880484248554,-0.11781706361212206,0.18740136497043178
0.7,0.2,-0.00016518558942557604,-0.0025565386056165835,-0.11365332683350203,-0.13492682304969314,0.23778814533779308
0.7,0.3,-0.00019309075804674336,-0.002988420352228609,-0.1456815406760051,-0.14151531934228326,0.2746714580386756
0.7,0.4,-0.0001369444591121649,-0.002119457258729398,-0.1509855610107355,-0.14719040506197156,0.28809555684008475
0.7,0.5,-8.572376436255524e-5,-0.0013267265853743966,-0.16138293903282183,-0.15339524127439308,0.3068520503434078
0.7,0.6,5.446845095136155e-5,0.0008429954339814138,-0.16967333669132365,-0.15942103620925768,0.32744444688533036
0.7,0.7,0.00029269501973328005,0.004529972137533078,-0.1733002854888128,-0.17636891596976192,0.3587042000349605
0.7,0.8,5.5081983611593444e-5,0.0008524909349942075,-0.19340103163724684,-0.20943513999047045,0.40023672595614046
0.7,0.9,6.077775069712743e-5,0.0009406429856264965,-0.19841927515835045,-0.23169957845262698,0.4274077309609262
0.7,1.0,0.00011665518625036952,0.001805444943663387,-0.21217387077846375,-0.24626234640461706,0.45793709265474714
0.8,0.0,-0.0007006192981089399,-0.010843320471744305,-0.09670271485571864,-0.11793780479496109,0.17962891850196117
0.8,0.1,-0.0006127567601161843,-0.00948349258877309,-0.11162812541881022,-0.1325722274947933,0.21285928667737986
0.8,0.2,-0.0005114828420920148,-0.007916099924127304,-0.14342756547735047,-0.14423717404251732,0.2604673286484206
